"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\components\BottomNav.tsx", "TypeScript JSX", 43, 0, 3, 46
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\components\BuildingDetailPanel.tsx", "TypeScript JSX", 78, 0, 10, 88
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\components\Header.tsx", "TypeScript JSX", 25, 0, 5, 30
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\components\MapController.tsx", "TypeScript JSX", 22, 0, 7, 29
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\components\PhoneFrame.tsx", "TypeScript JSX", 25, 2, 2, 29
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\components\ShareCard.tsx", "TypeScript JSX", 98, 4, 11, 113
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\components\ThemeToggle.tsx", "TypeScript JSX", 22, 0, 4, 26
"Total", "-", 313, 6, 42, 361
